"filename", "language", "JSON", "JavaScript", "Batch", "Markdown", "CSS", "wxml", "Less", "comment", "blank", "total"
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\record3\index.js", "JavaScript", 0, 359, 0, 0, 0, 0, 0, 16, 13, 388
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\record3\index.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\record3\index.wxml", "wxml", 0, 0, 0, 0, 0, 124, 0, 3, 0, 127
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\record3\index.wxss", "CSS", 0, 0, 0, 0, 328, 0, 0, 1, 57, 386
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\record\index.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 21, 0, 75
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\record\index.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\record\index.wxml", "wxml", 0, 0, 0, 0, 0, 6, 0, 1, 0, 7
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\record\index.wxss", "CSS", 0, 0, 0, 0, 19, 0, 0, 1, 0, 20
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\selectRecord\index.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 3, 6, 54
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\selectRecord\index.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\selectRecord\index.wxml", "wxml", 0, 0, 0, 0, 0, 22, 0, 0, 1, 23
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\selectRecord\index.wxss", "CSS", 0, 0, 0, 0, 73, 0, 0, 0, 11, 84
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecordResult\index.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 3, 5, 47
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecordResult\index.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecordResult\index.wxml", "wxml", 0, 0, 0, 0, 0, 19, 0, 0, 1, 20
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecordResult\index.wxss", "CSS", 0, 0, 0, 0, 64, 0, 0, 0, 10, 74
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecord\index.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 3, 5, 49
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecord\index.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecord\index.wxml", "wxml", 0, 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecord\index.wxss", "CSS", 0, 0, 0, 0, 73, 0, 0, 0, 11, 84
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordResult\index.js", "JavaScript", 0, 70, 0, 0, 0, 0, 0, 3, 6, 79
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordResult\index.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordResult\index.wxml", "wxml", 0, 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordResult\index.wxss", "CSS", 0, 0, 0, 0, 63, 0, 0, 0, 10, 73
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordSuccess\index.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 3, 5, 17
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordSuccess\index.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordSuccess\index.wxml", "wxml", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordSuccess\index.wxss", "CSS", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecord\index.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 3, 6, 52
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecord\index.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecord\index.wxml", "wxml", 0, 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecord\index.wxss", "CSS", 0, 0, 0, 0, 73, 0, 0, 0, 11, 84
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\uploadFile\index.js", "JavaScript", 0, 134, 0, 0, 0, 0, 0, 20, 3, 157
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\uploadFile\index.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\uploadFile\index.wxml", "wxml", 0, 0, 0, 0, 0, 19, 0, 0, 0, 19
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\uploadFile\index.wxss", "CSS", 0, 0, 0, 0, 90, 0, 0, 0, 10, 100
"c:\Users\19332\Desktop\呼吸之友\miniprogram\sitemap.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\19332\Desktop\呼吸之友\miniprogram\styles\iconfont.wxss", "CSS", 0, 0, 0, 0, 25, 0, 0, 0, 6, 31
"c:\Users\19332\Desktop\呼吸之友\miniprogram\utils\getCurrentTime.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 8, 3, 51
"c:\Users\19332\Desktop\呼吸之友\project.config.json", "JSON", 66, 0, 0, 0, 0, 0, 0, 0, 0, 66
"c:\Users\19332\Desktop\呼吸之友\project.private.config.json", "JSON", 96, 0, 0, 0, 0, 0, 0, 0, 0, 96
"c:\Users\19332\Desktop\呼吸之友\uploadCloudFunction.bat", "Batch", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 487, 2420, 1, 7, 1583, 571, 292, 613, 556, 6530
