"filename", "language", "JavaScript", "CSS", "JSON", "Markdown", "wxml", "Less", "comment", "blank", "total"
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\questionSystem\index\index.wxml", "wxml", 0, 0, 0, 0, 18, 0, 1, 4, 23
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\questionSystem\index\index.wxss", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\questionSystem\login\login.js", "JavaScript", 35, 0, 0, 0, 0, 0, 36, 17, 88
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\questionSystem\login\login.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\questionSystem\login\login.wxml", "wxml", 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\questionSystem\login\login.wxss", "CSS", 0, 16, 0, 0, 0, 0, 1, 4, 21
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\questionSystem\question\question.js", "JavaScript", 128, 0, 0, 0, 0, 0, 33, 30, 191
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\questionSystem\question\question.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\questionSystem\question\question.wxml", "wxml", 0, 0, 0, 0, 57, 0, 3, 11, 71
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\questionSystem\question\question.wxss", "CSS", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\voteSystem\voteSystem.js", "JavaScript", 112, 0, 0, 0, 0, 0, 14, 9, 135
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\voteSystem\voteSystem.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\voteSystem\voteSystem.wxml", "wxml", 0, 0, 0, 0, 48, 0, 0, 2, 50
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\voteSystem\voteSystem.wxss", "CSS", 0, 69, 0, 0, 0, 0, 0, 2, 71
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\index\index.js", "JavaScript", 129, 0, 0, 0, 0, 0, 7, 7, 143
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\index\index.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\index\index.wxml", "wxml", 0, 0, 0, 0, 25, 0, 1, 7, 33
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\index\index.wxss", "CSS", 0, 78, 0, 0, 0, 0, 1, 15, 94
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\login\index.js", "JavaScript", 18, 0, 0, 0, 0, 0, 8, 0, 26
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\login\index.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\login\index.wxml", "wxml", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\login\index.wxss", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\creatQuestion\addQues\addQues.js", "JavaScript", 148, 0, 0, 0, 0, 0, 37, 25, 210
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\creatQuestion\addQues\addQues.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\creatQuestion\addQues\addQues.wxml", "wxml", 0, 0, 0, 0, 87, 0, 1, 11, 99
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\creatQuestion\addQues\addQues.wxss", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\creatQuestion\dataDetail\dataDetail.js", "JavaScript", 56, 0, 0, 0, 0, 0, 28, 22, 106
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\creatQuestion\dataDetail\dataDetail.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\creatQuestion\dataDetail\dataDetail.wxml", "wxml", 0, 0, 0, 0, 40, 0, 4, 13, 57
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\creatQuestion\dataDetail\dataDetail.wxss", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\creatQuestion\lookData\index.js", "JavaScript", 37, 0, 0, 0, 0, 0, 37, 17, 91
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\creatQuestion\lookData\index.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\creatQuestion\lookData\index.wxml", "wxml", 0, 0, 0, 0, 12, 0, 1, 3, 16
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\creatQuestion\lookData\index.wxss", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\creatQuestion\newQues\index.js", "JavaScript", 33, 0, 0, 0, 0, 0, 37, 17, 87
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\creatQuestion\newQues\index.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\creatQuestion\newQues\index.wxml", "wxml", 0, 0, 0, 0, 27, 0, 1, 12, 40
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\creatQuestion\newQues\index.wxss", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\creatQuestion\preview\preview.js", "JavaScript", 56, 0, 0, 0, 0, 0, 37, 15, 108
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\creatQuestion\preview\preview.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\creatQuestion\preview\preview.wxml", "wxml", 0, 0, 0, 0, 49, 0, 5, 12, 66
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\creatQuestion\preview\preview.wxss", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\createVote\createVote.js", "JavaScript", 261, 0, 0, 0, 0, 0, 95, 52, 408
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\createVote\createVote.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\createVote\createVote.wxml", "wxml", 0, 0, 0, 0, 85, 0, 0, 6, 91
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\createVote\createVote.wxss", "CSS", 0, 60, 0, 0, 0, 0, 0, 6, 66
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\diet\index.js", "JavaScript", 20, 0, 0, 0, 0, 0, 28, 18, 66
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\diet\index.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\diet\index.wxml", "wxml", 0, 0, 0, 0, 1, 0, 1, 1, 3
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\diet\index.wxss", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\index.js", "JavaScript", 75, 0, 0, 0, 0, 0, 10, 3, 88
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\index.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\index.less", "Less", 0, 0, 0, 0, 0, 119, 2, 6, 127
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\index.wxml", "wxml", 0, 0, 0, 0, 71, 0, 5, 4, 80
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\index.wxss", "CSS", 0, 117, 0, 0, 0, 0, 0, 1, 118
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\modifyInfo\index.js", "JavaScript", 68, 0, 0, 0, 0, 0, 8, 0, 76
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\modifyInfo\index.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\modifyInfo\index.less", "Less", 0, 0, 0, 0, 0, 44, 3, 4, 51
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\modifyInfo\index.wxml", "wxml", 0, 0, 0, 0, 28, 0, 0, 0, 28
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\modifyInfo\index.wxss", "CSS", 0, 43, 0, 0, 0, 0, 0, 1, 44
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\sports\index.js", "JavaScript", 47, 0, 0, 0, 0, 0, 28, 17, 92
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\sports\index.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\sports\index.less", "Less", 0, 0, 0, 0, 0, 14, 0, 0, 14
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\sports\index.wxml", "wxml", 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\sports\index.wxss", "CSS", 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\index.js", "JavaScript", 40, 0, 0, 0, 0, 0, 12, 1, 53
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\index.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\index.less", "Less", 0, 0, 0, 0, 0, 54, 1, 0, 55
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\index.wxml", "wxml", 0, 0, 0, 0, 20, 0, 2, 0, 22
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\index.wxss", "CSS", 0, 52, 0, 0, 0, 0, 0, 1, 53
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\paperDetail\paperDetail.js", "JavaScript", 119, 0, 0, 0, 0, 0, 15, 2, 136
